KS,Zulassungsbezirk,Benzin,Diesel,Gas,Hybrid,Elektro,Sonstige Kraftstoffart,Euro 1,Euro 2,Euro 3,Euro 4,Euro 5,Euro 6,Sonstige Emissionsgruppe
08111,"STUTTGART,STADT",196371,96958,1978,4817,1590,79,4101,19457,20005,66912,66242,117434,2258
08115,BOEBLINGEN,164557,82438,1448,3220,1253,84,2771,14149,16394,60043,62577,91827,1841
08116,ESSLINGEN,219852,104219,1937,2716,906,68,4531,21749,24592,86700,86686,97811,1907
08117,GOEPPINGEN,106944,54041,1264,1175,308,40,1942,10749,12643,44604,46338,44643,797
08118,LUDWIGSBURG,226185,97531,2206,2627,875,73,4193,23446,25664,89379,87307,93509,1446
08119,REMS-MURR-KREIS,178573,79105,1886,1811,622,46,3770,19997,21465,72659,66984,71814,1312
08121,"HEILBRONN,STADT",43752,21795,505,530,121,9,812,5020,5907,19341,16602,18105,226
08125,HEILBRONN,149133,87694,1623,2355,619,41,3211,17587,19490,64780,58944,72515,2167
08126,HOHENLOHEKREIS,44286,36450,643,418,188,9,1109,6316,7059,23154,20652,22333,497
08127,SCHWAEBISCH-HALL,75288,49421,1182,709,290,25,1755,10281,11599,37452,35177,28165,826
08128,MAIN-TAUBER-KREIS,53236,33210,748,836,115,17,1070,6883,7925,27180,24895,18874,429
08135,HEIDENHEIM,53229,28030,708,396,117,11,966,5588,6782,24584,23382,19983,330
08136,OSTALBKREIS,126574,72847,1336,1606,427,20,2262,12776,15286,56994,58328,53651,1108
08211,"BADEN-BADEN,STADT",21893,12004,157,323,92,5,559,2568,2971,8819,8595,10212,217
08212,"KARLSRUHE,STADT",90320,47528,1259,1228,342,35,2448,10940,11785,36806,35521,40378,763
08215,KARLSRUHE,184610,86928,2064,1844,561,52,4276,21597,24887,79404,75480,65599,1442
08216,RASTATT,99629,48135,971,914,245,25,2560,13064,13803,42677,37482,37768,801
08221,"HEIDELBERG,STADT",38871,20444,399,544,138,19,1224,4884,4928,15561,15147,17074,350
08222,"MANNHEIM,STADT",99394,48971,1020,1369,263,21,2672,12020,12746,39687,34276,45481,773
08225,NECKAR-ODENWALD-KREIS,58354,33130,665,528,109,17,1197,6772,7799,26956,26247,22569,404
08226,RHEIN-NECKAR-KREIS,230404,112205,2280,3344,714,71,5367,25759,28409,95703,90763,96825,1790
08231,"PFORZHEIM,STADT",40881,19378,430,440,140,9,789,4214,5291,17375,16128,16496,261
08235,CALW,64474,36942,850,501,263,22,1267,6670,8233,27947,28719,28322,534
08236,ENZKREIS,88358,40043,992,744,279,31,1870,9498,11244,36530,36028,32726,686
08237,FREUDENSTADT,45457,29163,476,482,140,12,799,4628,5709,21121,22159,20178,393
08311,FREIBURG I.BREISG.STADT,57133,33315,784,813,315,18,1868,8748,9276,25621,22617,22016,745
08315,BREISGAU-HOCHSCHWARZWALD,100672,53393,1001,1180,448,43,2855,13370,14944,46372,42834,32847,1207
08316,EMMENDINGEN,65971,32060,678,637,217,13,1759,9182,10034,30962,26328,19339,692
08317,ORTENAUKREIS,174202,90647,1508,1293,492,49,4628,23693,26590,80957,70399,57188,1575
08325,ROTTWEIL,57177,34074,546,484,129,19,1106,5547,6936,26140,27244,23869,505
08326,SCHWARZWALD-BAAR-KREIS,83664,44203,742,996,201,40,1502,7511,9594,35688,38450,34831,687
08327,TUTTLINGEN,53890,32090,472,542,155,17,968,4433,6133,22870,26135,25296,459
08335,KONSTANZ,109292,46040,1301,1375,359,34,2399,11620,13897,46464,42929,37760,1159
08336,LOERRACH,92538,40727,513,1265,363,36,2173,10074,12062,39324,37662,31408,789
08337,WALDSHUT,70591,33874,417,768,247,33,1368,6862,9111,30698,31173,24856,714
08415,REUTLINGEN,114666,59940,1423,1148,369,33,2105,11430,13571,49266,50812,47127,816
08416,TUEBINGEN,78214,43214,1285,896,260,30,1542,8655,10093,35119,34466,31768,641
08417,ZOLLERNALBKREIS,81337,43092,899,780,206,15,1402,7624,9322,34395,37245,34165,546
08421,"ULM,STADT",39967,25112,479,458,183,14,696,3546,4489,17282,17802,21235,326
08425,ALB-DONAU-KREIS,78257,45692,880,490,206,23,1390,7474,9502,37164,37375,30416,570
08426,BIBERACH,77868,49013,809,621,252,15,1400,7711,10391,38844,38667,29334,739
08435,BODENSEEKREIS,88249,45315,887,1131,352,32,2020,9917,11596,37692,36461,34861,1063
08436,RAVENSBURG,108250,65826,1138,835,408,37,2159,12178,15253,52108,49777,41303,1317
08437,SIGMARINGEN,51285,31888,649,707,119,13,962,5475,6906,24692,24963,20275,449
09161,"INGOLSTADT,STADT",59373,34035,715,2848,972,12,1254,5188,5226,18767,18642,43182,4035
09162,"MUENCHEN,STADT",437002,270546,3796,11110,3122,114,10541,38208,45620,151703,159998,300578,5805
09163,"ROSENHEIM,STADT",21508,12440,230,220,76,6,412,2009,2698,9369,9794,9543,178
09171,ALTOETTING,44179,24365,386,541,145,12,720,4007,5407,19953,21007,17324,383
09172,BERCHTESGADENER LAND,41200,22186,304,357,121,14,799,3471,4321,17292,19094,17742,419
09173,BAD TOELZ-WOLFRATSHAUSEN,47548,30128,514,607,184,16,1028,4628,5910,20801,23727,21130,552
09174,DACHAU,58574,31036,651,665,185,16,1124,5283,7107,25418,25803,24570,527
09175,EBERSBERG,51726,30171,490,697,258,15,953,4558,5910,21416,24718,23877,617
09176,EICHSTAETT,50166,31140,571,448,158,12,1163,5895,6113,22667,23840,21087,430
09177,ERDING,52880,33008,541,961,185,18,964,4928,6607,24536,26226,22843,399
09178,FREISING,63064,42108,791,795,383,19,1384,6531,8589,29334,31081,27914,853
09179,FUERSTENFELDBRUCK,79966,39762,802,948,251,19,1647,7498,9523,33921,34485,32172,701
09180,GARMISCH-PARTENKIRCHEN,32848,17817,343,366,82,13,740,3166,4103,13626,15327,13438,333
09181,LANDSBERG AM LECH,48028,30468,662,677,283,15,1118,4786,6234,21701,22854,21385,704
09182,MIESBACH,39329,24618,324,452,176,17,885,3446,4437,15468,19339,19603,499
09183,MUEHLDORF A.INN,45224,26379,439,647,139,6,874,4706,6068,21503,21063,17408,423
09184,MUENCHEN,146756,92996,1066,3284,1372,48,2639,10210,13616,47882,59425,102847,4957
09185,NEUBURG-SCHROBENHAUSEN,38989,24071,471,394,103,7,847,4819,5528,18876,17864,14819,348
09186,PFAFFENHOFEN A.D.ILM,48271,32487,688,488,196,10,1059,5540,6716,22802,23574,20856,518
09187,ROSENHEIM,104643,61168,1062,944,483,25,2145,9995,12876,46794,49118,43445,1340
09188,STARNBERG,53552,30989,471,772,378,15,1360,4545,5842,19957,24633,26866,788
09189,TRAUNSTEIN,71432,41040,715,638,319,13,1473,6702,8625,32399,33937,28425,712
09190,WEILHEIM-SCHONGAU,54014,31108,656,551,213,8,1299,5831,7394,24404,25166,20377,605
09261,"LANDSHUT,STADT",22914,13317,250,377,62,6,432,2037,2799,10224,10366,10411,180
09262,"PASSAU,STADT",17552,9951,110,280,57,9,334,1615,1920,6926,7767,8937,155
09263,"STRAUBING,STADT",17234,9445,155,155,32,5,281,1511,2081,7711,7414,7626,100
09271,DEGGENDORF,45994,29711,627,293,102,10,726,4368,5665,22025,23481,19530,325
09272,FREYUNG-GRAFENAU,30792,20477,256,178,50,6,618,3378,3726,14488,15503,13405,211
09273,KELHEIM,45783,31781,713,353,156,13,836,4634,5992,22497,23483,19914,577
09274,LANDSHUT,60979,43220,817,816,216,10,1180,6575,8888,30787,30999,25895,620
09275,PASSAU,80336,43647,586,540,180,39,1363,8268,9448,36773,36578,31194,591
09276,REGEN,29531,18935,267,213,132,6,492,2665,3221,13298,15656,13129,272
09277,ROTTAL-INN,49484,30627,503,419,147,19,927,5705,7014,24785,22192,19159,509
09278,STRAUBING-BOGEN,40608,25823,476,328,97,8,747,3879,5336,20097,20639,15574,300
09279,DINGOLFING-LANDAU,38570,27844,517,287,136,4,783,4219,5714,18896,18014,18600,424
